models_cv-1,accuracy_cv-1
mnb,0.7818429604780376
knc,0.7098228325820316
dtc,0.6388510326029982
abc,0.7985113743578992
gbdt,0.8268162281161547
xgb,0.8461054617884475
bc,0.8229374148233567
svc,0.5572911206625433
etc,0.8249292378656043
dtc,0.6388510326029982
bnb,0.8229374148233567
rf,0.821784254114687
