models_tfidf-1,accuracy_tfidf-1
svc,0.867751217352811
dtc,0.729858344400177
mnb,0.8174524125719345
bnb,0.6968791500664011
knc,0.8063302346170872
rf,0.8487162461266047
abc,0.7996901283753873
bc,0.8516489597166887
etc,0.8543050022133688
gbdt,0.7679836210712705
